EmotionCategory,Index,AUPattern
Amusement,1,"[-1]"
Anger,1,"[4, 5, 22, 23, 24]"
Anger,2,"[4, 7, 22, 23, 24]"
Awe,1,"[-1]"
Contempt,1,"[12, 14]"
Disgust,1,"[9]"
Disgust,2,"[10]"
Disgust,3,"[9, 25]"
Disgust,4,"[9, 26]"
Disgust,5,"[10, 25]"
Disgust,6,"[10, 26]"
Embarrassment,1,"[-1]"
Fear,1,"[1, 2, 4, 5, 20]"
Fear,2,"[1, 2, 4, 5, 20, 25]"
Fear,3,"[1, 2, 4, 5, 20, 26]"
Happiness,1,"[6, 12]"
Interest,1,"[-1]"
Pride,1,"[-1]"
Sadness,1,"[1, 15]"
Sadness,2,"[1, 4, 15]"
Sadness,3,"[1, 15, 17]"
Sadness,4,"[1, 4, 15, 17]"
Shame,1,"[-1]"
Surprise,1,"[1, 2, 5, 25]"
Surprise,2,"[1, 2, 5, 26]"
